Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-24-09_215;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-09_215.PNG;-24,639220;-24,677123;-24,677304;-24,672834;26,456416;26,525144;26,256056;NaN;8,884257;8,891289;8,877974;8,887630;2,107238;2,101950;2,122726;12,004258
15-24-09_715;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-09_715.PNG;-24,639335;-24,677404;-24,677142;-24,672762;26,464202;26,526261;26,259691;NaN;8,884273;8,891328;8,877951;8,887620;2,106638;2,101864;2,122444;12,004233
15-24-10_216;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-10_216.PNG;-24,639620;-24,677656;-24,677167;-24,672779;26,469109;26,525749;26,262688;NaN;8,884313;8,891363;8,877955;8,887622;2,106260;2,101904;2,122212;12,004254
15-24-10_714;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-10_714.PNG;-24,638961;-24,677387;-24,677108;-24,672745;26,476062;26,527704;26,265778;NaN;8,884221;8,891326;8,877947;8,887618;2,105725;2,101753;2,121972;12,004290
15-24-11_215;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-11_215.PNG;-24,639416;-24,677562;-24,677372;-24,672613;26,483969;26,529635;26,268806;NaN;8,884284;8,891350;8,877984;8,887599;2,105116;2,101605;2,121737;12,004301
15-24-11_715;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-11_715.PNG;-24,639395;-24,677383;-24,676950;-24,672702;26,492971;26,530659;26,270536;NaN;8,884281;8,891325;8,877925;8,887612;2,104424;2,101526;2,121603;12,004335
15-24-12_216;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-12_216.PNG;-24,639123;-24,677251;-24,677180;-24,672655;26,500278;26,530884;26,268422;NaN;8,884243;8,891306;8,877957;8,887605;2,103862;2,101509;2,121767;12,004255
15-24-12_716;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-12_716.PNG;-24,639148;-24,677575;-24,677189;-24,672728;26,503340;26,529069;26,264586;NaN;8,884247;8,891352;8,877958;8,887615;2,103626;2,101649;2,122064;12,004261
15-24-13_216;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-13_216.PNG;-24,639225;-24,677472;-24,677193;-24,672804;26,500937;26,528697;26,261243;NaN;8,884258;8,891337;8,877959;8,887626;2,103811;2,101677;2,122324;12,004251
15-24-13_715;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-13_715.PNG;-24,639310;-24,677404;-24,677278;-24,672796;26,494195;26,530031;26,260313;NaN;8,884270;8,891328;8,877971;8,887625;2,104330;2,101575;2,122396;12,004281
15-24-14_215;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-14_215.PNG;-24,639216;-24,677166;-24,677636;-24,672847;26,493637;26,531901;26,262404;NaN;8,884256;8,891295;8,878021;8,887632;2,104373;2,101431;2,122234;12,004232
15-24-14_715;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-14_715.PNG;-24,639101;-24,677310;-24,677435;-24,672932;26,493211;26,532040;26,272765;NaN;8,884240;8,891315;8,877993;8,887644;2,104405;2,101420;2,121430;12,004277
15-24-15_216;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-15_216.PNG;-24,639203;-24,677383;-24,677338;-24,672728;26,493273;26,532071;26,282845;NaN;8,884255;8,891325;8,877979;8,887615;2,104401;2,101418;2,120649;12,004262
15-24-15_715;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-15_715.PNG;-24,639284;-24,677255;-24,677414;-24,672740;26,494505;26,533352;26,288076;NaN;8,884266;8,891307;8,877990;8,887617;2,104306;2,101320;2,120243;12,004258
15-24-16_216;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-16_216.PNG;-24,639442;-24,677434;-24,677027;-24,672915;26,496744;26,532366;26,290168;NaN;8,884288;8,891332;8,877935;8,887641;2,104133;2,101395;2,120081;12,004270
15-24-16_716;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-16_716.PNG;-24,639280;-24,677251;-24,677269;-24,672485;26,499488;26,529620;26,295045;NaN;8,884265;8,891306;8,877969;8,887581;2,103922;2,101606;2,119703;12,004273
15-24-17_216;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-17_216.PNG;-24,639395;-24,677396;-24,677231;-24,672872;26,504766;26,528510;26,297523;NaN;8,884281;8,891327;8,877964;8,887635;2,103517;2,101691;2,119511;12,004272
15-24-17_716;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-17_716.PNG;-24,639620;-24,677430;-24,677057;-24,672932;26,512968;26,529410;26,299193;NaN;8,884313;8,891331;8,877940;8,887644;2,102886;2,101622;2,119382;12,004236
15-24-18_216;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-18_216.PNG;-24,639327;-24,677434;-24,677006;-24,672574;26,519714;26,527688;26,298046;NaN;8,884272;8,891332;8,877932;8,887594;2,102367;2,101755;2,119471;12,004224
15-24-18_716;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-18_716.PNG;-24,639459;-24,677443;-24,677342;-24,673047;26,519389;26,527207;26,298523;NaN;8,884290;8,891333;8,877979;8,887660;2,102392;2,101792;2,119434;12,004293
15-24-19_215;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-19_215.PNG;-24,639446;-24,677259;-24,677423;-24,672617;26,512790;26,527184;26,300555;NaN;8,884289;8,891308;8,877991;8,887600;2,102900;2,101793;2,119277;12,004284
15-24-19_716;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-19_716.PNG;-24,639391;-24,677438;-24,677418;-24,672813;26,502727;26,525896;26,301925;NaN;8,884281;8,891333;8,877990;8,887627;2,103673;2,101892;2,119171;12,004239
15-24-20_216;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-20_216.PNG;-24,639310;-24,677434;-24,677525;-24,672826;26,492289;26,525423;26,299100;NaN;8,884270;8,891332;8,878005;8,887629;2,104476;2,101929;2,119389;12,004218
15-24-20_716;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-20_716.PNG;-24,639216;-24,677340;-24,677010;-24,672800;26,488013;26,524787;26,294014;NaN;8,884256;8,891319;8,877933;8,887625;2,104805;2,101978;2,119783;12,004254
15-24-21_215;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-21_215.PNG;-24,639340;-24,677511;-24,677538;-24,672753;26,491166;26,524089;26,286883;NaN;8,884274;8,891343;8,878007;8,887619;2,104563;2,102031;2,120336;12,004269
15-24-21_716;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_6/Images/15-24-21_716.PNG;-24,639361;-24,677511;-24,677491;-24,672898;26,498372;26,521514;26,281215;NaN;8,884277;8,891343;8,878000;8,887639;2,104008;2,102229;2,120775;12,004241
