Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-19-28_552;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-28_552.PNG;-72,519453;0,245894;0,244137;0,279034;26,712326;26,978455;26,995344;-112,105548;11,885210;5,042180;5,031662;5,034545;2,087823;2,067603;2,066326;12,003390
15-19-29_052;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-29_052.PNG;-72,520825;0,245705;0,244075;0,279190;26,693703;26,978416;26,984872;-112,378079;11,885225;5,042208;5,031671;5,034523;2,089245;2,067606;2,067118;12,003415
15-19-29_552;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-29_552.PNG;-72,519288;0,245820;0,244133;0,279169;26,684926;26,978242;26,969290;-112,491449;11,885208;5,042191;5,031662;5,034526;2,089916;2,067619;2,068296;12,003425
15-19-30_052;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-30_052.PNG;-72,522472;0,245767;0,244244;0,279268;26,686674;26,978747;26,958733;-112,397953;11,885243;5,042199;5,031646;5,034511;2,089782;2,067581;2,069095;12,003417
15-19-30_552;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-30_552.PNG;-72,516764;0,245844;0,244125;0,279284;26,671591;26,978644;26,955252;-112,800664;11,885181;5,042187;5,031663;5,034509;2,090935;2,067589;2,069358;12,003452
15-19-31_052;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-31_052.PNG;-72,515172;0,245529;0,244289;0,278981;26,664614;26,978676;26,948787;-112,023276;11,885163;5,042233;5,031640;5,034553;2,091469;2,067586;2,069848;12,003383
15-19-31_552;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-31_552.PNG;-72,520551;0,245803;0,244051;0,279358;26,665323;26,978298;26,942410;-112,484730;11,885222;5,042193;5,031674;5,034498;2,091414;2,067615;2,070331;12,003425
15-19-32_052;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-32_052.PNG;-72,520825;0,245533;0,244420;0,279251;26,663180;26,977557;26,937356;-112,048489;11,885225;5,042233;5,031621;5,034514;2,091578;2,067671;2,070713;12,003385
15-19-32_553;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-32_553.PNG;-72,523570;0,245660;0,244178;0,279436;26,669564;26,977856;26,936837;-112,105548;11,885254;5,042214;5,031656;5,034487;2,091090;2,067648;2,070753;12,003390
15-19-33_052;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-33_052.PNG;-72,525162;0,245595;0,243911;0,278968;26,687633;26,977502;26,939222;-112,345078;11,885272;5,042224;5,031694;5,034555;2,089709;2,067675;2,070572;12,003412
15-19-33_556;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-33_556.PNG;-72,519837;0,245607;0,244157;0,279297;26,694171;26,977281;26,943323;-112,240501;11,885214;5,042222;5,031659;5,034507;2,089210;2,067692;2,070261;12,003403
15-19-34_052;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-34_052.PNG;-72,519837;0,245779;0,244120;0,279116;26,693196;26,977257;26,947511;-112,195230;11,885214;5,042197;5,031664;5,034533;2,089284;2,067694;2,069944;12,003399
15-19-34_552;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_40/Images/15-19-34_552.PNG;-72,519782;0,245574;0,244219;0,279264;26,697402;26,977273;26,950149;-112,234016;11,885213;5,042227;5,031650;5,034512;2,088963;2,067692;2,069745;12,003402
