Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
12-02-49_340;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-49_340.PNG;-9,756678;-9,868966;-9,894554;-9,825489;26,714817;27,024114;27,287970;-114,602378;6,577236;6,599867;6,590605;6,589407;2,087633;2,064153;2,044326;12,003587
12-02-49_840;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-49_840.PNG;-9,756195;-9,868746;-9,894195;-9,825463;26,726673;27,027186;27,293853;-115,750216;6,577160;6,599831;6,590548;6,589403;2,086728;2,063921;2,043886;12,003656
12-02-50_345;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-50_345.PNG;-9,756502;-9,868861;-9,894315;-9,825160;26,739472;27,031165;27,299481;-114,881206;6,577208;6,599850;6,590567;6,589355;2,085752;2,063621;2,043465;12,003605
12-02-50_839;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-50_839.PNG;-9,756285;-9,869007;-9,894251;-9,825351;26,752401;27,033534;27,305509;-114,502919;6,577174;6,599873;6,590557;6,589385;2,084766;2,063442;2,043015;12,003580
12-02-51_341;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-51_341.PNG;-9,756401;-9,868981;-9,894124;-9,825280;26,764946;27,037018;27,311315;-114,957521;6,577192;6,599869;6,590537;6,589374;2,083810;2,063179;2,042581;12,003610
12-02-51_839;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-51_839.PNG;-9,756337;-9,868970;-9,894169;-9,825130;26,777191;27,038834;27,315352;-114,299499;6,577182;6,599867;6,590544;6,589350;2,082877;2,063042;2,042279;12,003567
12-02-52_340;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-52_340.PNG;-9,756442;-9,869105;-9,894520;-9,825183;26,790279;27,040201;27,321288;-115,281674;6,577199;6,599889;6,590600;6,589358;2,081881;2,062939;2,041836;12,003629
12-02-52_840;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-52_840.PNG;-9,756697;-9,868974;-9,894753;-9,825194;26,799848;27,041939;27,326666;-114,796358;6,577239;6,599868;6,590637;6,589360;2,081152;2,062808;2,041434;12,003600
12-02-53_340;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-53_340.PNG;-9,757153;-9,868947;-9,894101;-9,825205;26,805793;27,042816;27,330752;-115,162007;6,577312;6,599864;6,590533;6,589362;2,080700;2,062742;2,041129;12,003622
12-02-53_840;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-53_840.PNG;-9,757239;-9,868817;-9,894247;-9,825287;26,811379;27,043400;27,333985;-115,761006;6,577326;6,599843;6,590556;6,589375;2,080275;2,062698;2,040888;12,003657
12-02-54_340;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-54_340.PNG;-9,758606;-9,869075;-9,894199;-9,824958;26,818064;27,043543;27,335462;-114,938362;6,577543;6,599884;6,590549;6,589322;2,079767;2,062687;2,040777;12,003608
12-02-54_839;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_29/Images/12-02-54_839.PNG;-9,758482;-9,869191;-9,894330;-9,825355;26,825455;27,045052;27,336532;-114,712550;6,577524;6,599902;6,590569;6,589386;2,079204;2,062573;2,040697;12,003594
