Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
11-59-08_824;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-08_824.PNG;5,409391;5,351707;5,323050;5,327222;26,182270;26,357148;26,302005;-115,837020;4,320564;4,330960;4,325616;4,331838;2,128670;2,115109;2,119376;12,003661
11-59-09_324;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-09_324.PNG;5,409436;5,351680;5,323091;5,327275;26,158963;26,343350;26,304714;-115,653878;4,320558;4,330964;4,325611;4,331830;2,130484;2,116176;2,119166;12,003651
11-59-09_824;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-09_824.PNG;5,409495;5,351630;5,322767;5,327091;26,130940;26,331223;26,310725;-115,837020;4,320550;4,330970;4,325654;4,331855;2,132667;2,117114;2,118701;12,003661
11-59-10_323;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-10_323.PNG;5,409400;5,351671;5,322956;5,327100;26,106452;26,315328;26,309747;-116,406472;4,320563;4,330965;4,325629;4,331854;2,134576;2,118344;2,118777;12,003691
11-59-10_824;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-10_824.PNG;5,409432;5,351644;5,322839;5,326934;26,087552;26,301836;26,305253;-115,434284;4,320559;4,330969;4,325644;4,331876;2,136051;2,119389;2,119125;12,003638
11-59-11_325;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-11_325.PNG;5,409540;5,351518;5,322830;5,326965;26,062414;26,290388;26,304714;-115,664515;4,320544;4,330985;4,325645;4,331872;2,138013;2,120276;2,119166;12,003651
11-59-11_823;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-11_823.PNG;5,409544;5,351419;5,322933;5,327280;26,050659;26,286250;26,306053;-116,081657;4,320544;4,330998;4,325632;4,331830;2,138932;2,120597;2,119063;12,003674
11-59-12_324;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-12_324.PNG;5,409477;5,352385;5,323050;5,327037;26,040951;26,278891;26,295434;-115,980502;4,320553;4,330870;4,325616;4,331862;2,139691;2,121167;2,119885;12,003669
11-59-12_824;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-12_824.PNG;5,409508;5,351720;5,323041;5,326934;26,025890;26,271142;26,284143;-116,242099;4,320548;4,330958;4,325617;4,331876;2,140868;2,121768;2,120760;12,003682
11-59-13_324;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_20/Images/11-59-13_324.PNG;5,409508;5,351927;5,322879;5,327051;26,014172;26,265938;26,270527;-114,824524;4,320548;4,330931;4,325639;4,331860;2,141785;2,122172;2,121816;12,003601
