Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
09-29-58_791;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-29-58_791.PNG;-72,483719;15,642325;15,624922;15,669995;25,394501;25,353503;25,576560;-109,379626;11,884821;3,117228;3,113081;3,112882;2,190808;2,194089;2,176294;12,003080
09-29-59_296;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-29-59_296.PNG;-72,486674;15,642117;15,625108;15,670262;25,413170;25,353480;25,574243;-109,327473;11,884853;3,117250;3,113062;3,112855;2,189315;2,194091;2,176478;12,003073
09-29-59_791;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-29-59_791.PNG;-72,485634;15,641688;15,624882;15,670175;25,423493;25,353488;25,572465;-109,370908;11,884842;3,117294;3,113085;3,112863;2,188490;2,194090;2,176619;12,003079
09-30-00_290;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-30-00_290.PNG;-72,489904;15,641717;15,624986;15,670343;25,428119;25,354411;25,570380;-109,440944;11,884889;3,117291;3,113074;3,112846;2,188121;2,194016;2,176785;12,003088
09-30-00_791;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-30-00_791.PNG;-72,484704;15,641497;15,625004;15,670471;25,440740;25,355162;25,567951;-109,147796;11,884832;3,117314;3,113073;3,112833;2,187113;2,193956;2,176978;12,003048
09-30-01_291;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-30-01_291.PNG;-72,486072;15,641931;15,625288;15,670558;25,435962;25,356160;25,563145;-108,886245;11,884847;3,117269;3,113043;3,112824;2,187494;2,193876;2,177360;12,003010
09-30-01_791;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-30-01_791.PNG;-72,485908;15,641868;15,625341;15,670018;25,449385;25,356681;25,559621;-109,190180;11,884845;3,117275;3,113038;3,112880;2,186422;2,193834;2,177640;12,003054
09-30-02_291;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-30-02_291.PNG;-72,487605;15,641955;15,624801;15,670592;25,462994;25,357231;25,558107;-109,370908;11,884863;3,117266;3,113094;3,112821;2,185336;2,193790;2,177761;12,003079
09-30-02_791;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-30-02_791.PNG;-72,484704;15,642013;15,625236;15,670604;25,492691;25,357507;25,555161;-109,228535;11,884832;3,117261;3,113049;3,112819;2,182968;2,193768;2,177995;12,003059
09-30-03_291;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_35/Images/09-30-03_291.PNG;-72,484211;15,641787;15,625451;15,670801;25,492138;25,358460;25,553812;-109,750889;11,884827;3,117284;3,113027;3,112799;2,183012;2,193692;2,178102;12,003129
