Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
12-45-45_675;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-45_675.PNG;-72,515831;0,245308;0,244740;0,280868;26,703224;26,833742;27,060992;-111,697391;11,885170;5,042265;5,031574;5,034279;2,088518;2,078574;2,061371;12,003351
12-45-46_175;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-46_175.PNG;-72,512978;0,245004;0,244589;0,280802;26,708493;26,835107;27,064660;-111,566382;11,885139;5,042309;5,031596;5,034288;2,088116;2,078471;2,061094;12,003338
12-45-46_675;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-46_675.PNG;-72,514569;0,245095;0,244630;0,280658;26,702646;26,835664;27,065736;-111,751688;11,885157;5,042296;5,031590;5,034309;2,088562;2,078428;2,061013;12,003356
12-45-47_175;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-47_175.PNG;-72,517312;0,245119;0,244786;0,280888;26,705534;26,836934;27,063680;-110,896563;11,885187;5,042293;5,031568;5,034276;2,088342;2,078332;2,061168;12,003267
12-45-47_675;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-47_675.PNG;-72,515886;0,245254;0,244860;0,280950;26,702951;26,836675;27,062494;-111,501768;11,885171;5,042273;5,031557;5,034267;2,088539;2,078352;2,061257;12,003331
12-45-48_175;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-48_175.PNG;-72,512320;0,245021;0,245053;0,280753;26,696996;26,835883;27,061142;-111,414591;11,885132;5,042307;5,031529;5,034296;2,088994;2,078412;2,061359;12,003322
12-45-48_675;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-48_675.PNG;-72,517093;0,245381;0,245089;0,280765;26,691238;26,834542;27,061229;-111,613743;11,885184;5,042255;5,031523;5,034294;2,089434;2,078514;2,061353;12,003343
12-45-49_175;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-49_175.PNG;-72,514295;0,245283;0,244794;0,280859;26,691487;26,834260;27,063032;-111,282950;11,885154;5,042269;5,031566;5,034280;2,089415;2,078535;2,061217;12,003309
12-45-49_675;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-49_675.PNG;-72,511661;0,245144;0,244868;0,280929;26,693555;26,835554;27,062557;-111,311363;11,885125;5,042289;5,031556;5,034270;2,089257;2,078437;2,061253;12,003312
12-45-50_175;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_38/Images/12-45-50_175.PNG;-72,512429;0,245086;0,244855;0,281241;26,697808;26,836032;27,059783;-111,531066;11,885133;5,042298;5,031557;5,034225;2,088932;2,078400;2,061462;12,003334
