Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
12-09-07_068;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-07_068.PNG;-72,520002;-34,413709;-34,395535;-34,408015;26,322150;26,503889;26,561524;-112,163070;11,885216;10,073193;10,060359;10,069649;2,117816;2,103794;2,099366;12,003396
12-09-07_569;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-07_569.PNG;-72,519343;-34,413743;-34,395653;-34,408195;26,329598;26,505377;26,568057;-112,437871;11,885209;10,073196;10,060372;10,069668;2,117240;2,103680;2,098865;12,003421
12-09-08_068;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-08_068.PNG;-72,519563;-34,413703;-34,395737;-34,408314;26,334042;26,506098;26,575204;-111,739586;11,885211;10,073192;10,060381;10,069680;2,116896;2,103624;2,098317;12,003355
12-09-08_568;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-08_568.PNG;-72,517258;-34,413585;-34,396057;-34,407823;26,342803;26,508818;26,578040;-111,892359;11,885186;10,073180;10,060415;10,069628;2,116218;2,103415;2,098099;12,003370
12-09-09_069;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-09_069.PNG;-72,516928;-34,413483;-34,395501;-34,407931;26,348776;26,510857;26,583783;-112,182349;11,885182;10,073169;10,060356;10,069640;2,115756;2,103258;2,097659;12,003397
12-09-09_568;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-09_568.PNG;-72,519233;-34,413997;-34,396220;-34,407953;26,347920;26,511431;26,588532;-112,227537;11,885207;10,073223;10,060432;10,069642;2,115823;2,103214;2,097294;12,003402
12-09-10_069;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-10_069.PNG;-72,519398;-34,413794;-34,395950;-34,408342;26,336993;26,512253;26,590103;-112,378079;11,885209;10,073202;10,060403;10,069683;2,116668;2,103151;2,097174;12,003415
12-09-10_568;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-10_568.PNG;-72,519453;-34,413827;-34,395855;-34,407953;26,322974;26,510074;26,584149;-112,137447;11,885210;10,073205;10,060393;10,069642;2,117753;2,103319;2,097631;12,003393
12-09-11_068;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-11_068.PNG;-72,514514;-34,413472;-34,395574;-34,408375;26,304791;26,505578;26,574862;-112,640923;11,885156;10,073168;10,060363;10,069687;2,119160;2,103664;2,098343;12,003439
12-09-11_569;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-11_569.PNG;-72,520990;-34,413810;-34,396113;-34,407762;26,293303;26,500541;26,569105;-112,195230;11,885226;10,073203;10,060421;10,069622;2,120050;2,104052;2,098785;12,003399
12-09-12_069;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-12_069.PNG;-72,516654;-34,413348;-34,395889;-34,408297;26,281105;26,499533;26,563955;-111,607806;11,885179;10,073155;10,060397;10,069678;2,120996;2,104129;2,099180;12,003342
12-09-12_569;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-12_569.PNG;-72,517587;-34,413061;-34,396332;-34,408629;26,257540;26,497410;26,561035;-112,175917;11,885190;10,073124;10,060444;10,069714;2,122823;2,104293;2,099404;12,003397
12-09-13_068;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-13_068.PNG;-72,516380;-34,413393;-34,396214;-34,407947;26,247300;26,496721;26,562526;-112,099185;11,885176;10,073159;10,060431;10,069641;2,123618;2,104346;2,099289;12,003390
12-09-13_568;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-13_568.PNG;-72,518629;-34,413455;-34,395625;-34,408252;26,253867;26,497224;26,567567;-112,010703;11,885201;10,073166;10,060369;10,069674;2,123108;2,104307;2,098903;12,003381
12-09-14_069;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_37/Images/12-09-14_069.PNG;-72,519727;-34,413568;-34,396141;-34,408190;26,255734;26,498480;26,571086;-112,054806;11,885213;10,073178;10,060424;10,069667;2,122963;2,104210;2,098633;12,003386
