Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
10-53-46_654;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-46_654.PNG;-72,506342;-34,411617;-34,394001;-34,406145;25,866412;26,176838;26,325854;-110,859042;11,885067;10,072972;10,060197;10,069451;2,153378;2,129093;2,117530;12,003263
10-53-47_154;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-47_154.PNG;-72,510784;-34,412299;-34,394327;-34,406201;25,874316;26,178010;26,323944;-111,010312;11,885116;10,073044;10,060231;10,069457;2,152756;2,129002;2,117677;12,003279
10-53-47_654;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-47_654.PNG;-72,509084;-34,411927;-34,394046;-34,406348;25,871785;26,178715;26,324576;-110,784583;11,885097;10,073004;10,060201;10,069472;2,152955;2,128947;2,117629;12,003254
10-53-48_154;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-48_154.PNG;-72,511223;-34,412136;-34,394411;-34,406061;25,866124;26,177972;26,322558;-110,648310;11,885120;10,073026;10,060240;10,069442;2,153400;2,129005;2,117785;12,003239
10-53-48_654;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-48_654.PNG;-72,510290;-34,412018;-34,394203;-34,406393;25,866033;26,176524;26,322782;-110,843022;11,885110;10,073014;10,060218;10,069477;2,153407;2,129117;2,117767;12,003261
10-53-49_154;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-49_154.PNG;-72,512594;-34,411758;-34,394226;-34,406286;25,862366;26,173735;26,324722;-111,081641;11,885135;10,072986;10,060220;10,069466;2,153696;2,129334;2,117617;12,003287
10-53-49_654;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-49_654.PNG;-72,510564;-34,411803;-34,394147;-34,406061;25,855775;26,171177;26,325038;-111,334174;11,885113;10,072991;10,060212;10,069442;2,154215;2,129533;2,117593;12,003314
10-53-50_154;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-50_154.PNG;-72,505958;-34,412559;-34,394383;-34,406241;25,856078;26,170189;26,325569;-110,934280;11,885063;10,073071;10,060237;10,069461;2,154191;2,129610;2,117552;12,003271
10-53-50_654;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-50_654.PNG;-72,509084;-34,411758;-34,394327;-34,406066;25,864729;26,172020;26,328866;-110,779294;11,885097;10,072986;10,060231;10,069442;2,153510;2,129468;2,117297;12,003254
10-53-51_154;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-51_154.PNG;-72,506781;-34,411933;-34,393967;-34,406134;25,872126;26,172778;26,334373;-110,972195;11,885072;10,073005;10,060193;10,069450;2,152928;2,129409;2,116870;12,003275
10-53-51_654;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-51_654.PNG;-72,508700;-34,411786;-34,394040;-34,405869;25,881541;26,174119;26,340406;-110,983065;11,885093;10,072989;10,060201;10,069422;2,152188;2,129305;2,116404;12,003276
10-53-52_154;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-52_154.PNG;-72,505136;-34,411978;-34,393967;-34,406505;25,889578;26,176279;26,345515;-110,896563;11,885054;10,073010;10,060193;10,069489;2,151556;2,129136;2,116009;12,003267
10-53-52_654;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-52_654.PNG;-72,508755;-34,412057;-34,394209;-34,406061;25,900607;26,177436;26,351874;-110,674317;11,885094;10,073018;10,060219;10,069442;2,150689;2,129046;2,115517;12,003242
10-53-53_154;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_36/Images/10-53-53_154.PNG;-72,510564;-34,412091;-34,393979;-34,406280;25,910676;26,179389;26,356639;-111,554590;11,885113;10,073022;10,060194;10,069465;2,149899;2,128894;2,115148;12,003337
