Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
16-03-56_325;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-03-56_325.PNG;-29,470925;-29,515567;-29,515914;-29,508799;26,026933;26,097794;25,760919;NaN;9,523900;9,530624;9,518388;9,527023;2,140573;2,135038;2,161475;12,004238
16-03-56_825;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-03-56_825.PNG;-29,471016;-29,515259;-29,515612;-29,508592;26,021142;26,097053;25,752193;NaN;9,523911;9,530586;9,518351;9,526997;2,141026;2,135096;2,162164;12,004187
16-03-57_325;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-03-57_325.PNG;-29,470718;-29,514971;-29,515828;-29,508592;26,015016;26,096418;25,743793;NaN;9,523874;9,530550;9,518378;9,526997;2,141505;2,135145;2,162827;12,004228
16-03-57_825;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-03-57_825.PNG;-29,470733;-29,515168;-29,515871;-29,508467;26,008876;26,094348;25,733035;NaN;9,523876;9,530575;9,518383;9,526982;2,141985;2,135307;2,163677;12,004194
16-03-58_325;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-03-58_325.PNG;-29,470642;-29,515505;-29,515823;-29,508395;26,007665;26,093584;25,723050;NaN;9,523864;9,530616;9,518377;9,526973;2,142080;2,135366;2,164467;12,004210
16-03-58_825;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-03-58_825.PNG;-29,470723;-29,515447;-29,515814;-29,508453;25,996152;26,093248;25,715006;NaN;9,523874;9,530609;9,518376;9,526980;2,142981;2,135393;2,165102;12,004208
16-03-59_325;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-03-59_325.PNG;-29,470694;-29,514980;-29,515799;-29,508438;25,978594;26,094753;25,714553;NaN;9,523871;9,530551;9,518374;9,526978;2,144356;2,135275;2,165138;12,004153
16-03-59_825;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-03-59_825.PNG;-29,470656;-29,515317;-29,515727;-29,508765;25,957504;26,095907;25,715262;NaN;9,523866;9,530593;9,518365;9,527019;2,146009;2,135185;2,165082;12,004210
16-04-00_326;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-00_326.PNG;-29,470882;-29,515264;-29,515900;-29,508457;25,940943;26,097847;25,711162;NaN;9,523894;9,530587;9,518387;9,526980;2,147308;2,135034;2,165406;12,004176
16-04-00_826;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-00_826.PNG;-29,470877;-29,515351;-29,516058;-29,508707;25,937349;26,098145;25,705585;NaN;9,523894;9,530597;9,518406;9,527011;2,147590;2,135010;2,165848;12,004186
16-04-01_325;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-01_325.PNG;-29,470579;-29,515418;-29,515857;-29,508630;25,938914;26,099330;25,701019;NaN;9,523857;9,530606;9,518381;9,527002;2,147467;2,134918;2,166209;12,004197
16-04-01_825;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-01_825.PNG;-29,470646;-29,515346;-29,516015;-29,508438;25,943914;26,100911;25,700182;NaN;9,523865;9,530597;9,518401;9,526978;2,147075;2,134795;2,166275;12,004186
16-04-02_325;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-02_325.PNG;-29,470738;-29,515134;-29,515890;-29,508784;25,947037;26,102653;25,699338;NaN;9,523876;9,530570;9,518386;9,527021;2,146830;2,134659;2,166342;12,004144
16-04-02_825;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-02_825.PNG;-29,470925;-29,515000;-29,515895;-29,508751;25,950936;26,103762;25,693448;NaN;9,523900;9,530554;9,518386;9,527017;2,146524;2,134572;2,166808;12,004143
16-04-03_324;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-03_324.PNG;-29,470800;-29,515226;-29,515617;-29,508558;25,958143;26,105045;25,687249;NaN;9,523884;9,530582;9,518352;9,526993;2,145959;2,134472;2,167298;12,004228
16-04-03_824;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-03_824.PNG;-29,470838;-29,515481;-29,515578;-29,508457;25,963245;26,107078;25,681609;NaN;9,523889;9,530613;9,518347;9,526980;2,145559;2,134314;2,167745;12,004205
16-04-04_325;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-04_325.PNG;-29,471021;-29,515394;-29,516030;-29,508539;25,968743;26,108087;25,675188;NaN;9,523911;9,530603;9,518403;9,526991;2,145128;2,134235;2,168253;12,004239
16-04-04_825;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_7/Images/16-04-04_825.PNG;-29,470373;-29,515168;-29,515972;-29,508342;25,973406;26,109509;25,670220;NaN;9,523831;9,530575;9,518396;9,526966;2,144763;2,134124;2,168647;12,004186
