Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
13-32-58_049;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-32-58_049.PNG;-72,522142;0,245447;0,243414;0,279342;26,814051;27,061253;27,254796;-112,067458;11,885239;5,042245;5,031767;5,034501;2,080072;2,061351;2,046809;12,003387
13-32-58_557;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-32-58_557.PNG;-72,516215;0,245451;0,243722;0,279399;26,816512;27,062146;27,260035;-112,246992;11,885175;5,042244;5,031722;5,034492;2,079885;2,061284;2,046417;12,003403
13-32-59_049;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-32-59_049.PNG;-72,518959;0,245496;0,243546;0,279551;26,826874;27,063332;27,261603;-111,929518;11,885204;5,042238;5,031748;5,034470;2,079097;2,061194;2,046299;12,003374
13-32-59_549;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-32-59_549.PNG;-72,516873;0,245545;0,243566;0,279415;26,837499;27,066186;27,261532;-111,998153;11,885182;5,042231;5,031745;5,034490;2,078289;2,060979;2,046304;12,003380
13-33-00_049;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-00_049.PNG;-72,519069;0,245234;0,243595;0,279863;26,846229;27,067831;27,261420;-111,948171;11,885206;5,042276;5,031740;5,034425;2,077626;2,060855;2,046313;12,003375
13-33-00_549;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-00_549.PNG;-72,520002;0,245324;0,243238;0,279953;26,860935;27,068740;27,259772;-112,451228;11,885216;5,042263;5,031792;5,034412;2,076509;2,060787;2,046436;12,003422
13-33-01_049;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-01_049.PNG;-72,517093;0,245205;0,243480;0,279727;26,869900;27,069294;27,255489;-111,873852;11,885184;5,042280;5,031757;5,034445;2,075828;2,060745;2,046757;12,003368
13-33-01_549;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-01_549.PNG;-72,523570;0,245340;0,243702;0,279489;26,863541;27,071366;27,248413;-111,578193;11,885254;5,042261;5,031725;5,034479;2,076311;2,060589;2,047287;12,003339
13-33-02_049;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-02_049.PNG;-72,515995;0,245226;0,243336;0,279867;26,858203;27,073193;27,245882;-112,345078;11,885172;5,042277;5,031778;5,034424;2,076716;2,060451;2,047476;12,003412
13-33-02_549;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-02_549.PNG;-72,516215;0,245082;0,243086;0,279645;26,858188;27,073137;27,247768;-112,169490;11,885175;5,042298;5,031814;5,034457;2,076717;2,060455;2,047335;12,003396
13-33-03_050;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-03_050.PNG;-72,519178;0,245041;0,243418;0,279600;26,864703;27,074102;27,248811;-111,824734;11,885207;5,042304;5,031766;5,034463;2,076222;2,060382;2,047257;12,003363
13-33-03_550;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-03_550.PNG;-72,512265;0,245722;0,243792;0,279854;26,870316;27,075218;27,249233;-111,775953;11,885132;5,042205;5,031712;5,034426;2,075796;2,060298;2,047225;12,003359
13-33-04_049;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-04_049.PNG;-72,517532;0,245480;0,243492;0,279616;26,876967;27,076855;27,246408;-111,979368;11,885189;5,042240;5,031755;5,034461;2,075291;2,060175;2,047437;12,003378
13-33-04_548;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-04_548.PNG;-72,519288;0,245451;0,243209;0,279338;26,881578;27,078207;27,244609;-111,998153;11,885208;5,042244;5,031796;5,034501;2,074942;2,060073;2,047572;12,003380
13-33-05_049;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-05_049.PNG;-72,517203;0,245386;0,243459;0,279461;26,893701;27,079323;27,244721;-112,150247;11,885185;5,042254;5,031760;5,034483;2,074022;2,059989;2,047563;12,003394
13-33-05_549;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-05_549.PNG;-72,511881;0,245451;0,243385;0,279457;26,924994;27,081767;27,247418;-111,849251;11,885128;5,042244;5,031771;5,034484;2,071650;2,059805;2,047361;12,003366
13-33-06_050;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_39/Images/13-33-06_050.PNG;-72,522582;0,245250;0,243541;0,279551;26,942300;27,084916;27,249686;-112,016987;11,885244;5,042274;5,031748;5,034470;2,070339;2,059568;2,047191;12,003382
