Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
10-28-34_284;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-34_284.PNG;-24,698554;-24,773018;-24,790611;-24,746438;25,483202;25,997853;26,055495;-114,440369;8,870578;8,886166;8,875239;8,878878;2,183725;2,143062;2,138554;12,003576
10-28-34_784;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-34_784.PNG;-24,698289;-24,773159;-24,790560;-24,746006;25,495668;25,999932;26,058417;-114,204297;8,870541;8,886185;8,875232;8,878817;2,182731;2,142900;2,138326;12,003560
10-28-35_284;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-35_284.PNG;-24,698156;-24,772979;-24,790907;-24,746494;25,508333;26,000944;26,062926;-114,458182;8,870522;8,886160;8,875280;8,878885;2,181722;2,142820;2,137973;12,003577
10-28-35_784;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-35_784.PNG;-24,697896;-24,772962;-24,790676;-24,746207;25,519013;26,003982;26,067550;-114,484989;8,870486;8,886158;8,875248;8,878846;2,180871;2,142583;2,137612;12,003579
10-28-36_284;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-36_284.PNG;-24,698037;-24,772495;-24,790598;-24,746134;25,540505;26,006221;26,071923;-114,467106;8,870506;8,886093;8,875237;8,878835;2,179161;2,142407;2,137271;12,003578
10-28-36_784;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-36_784.PNG;-24,698439;-24,772846;-24,790658;-24,746297;25,554854;26,006990;26,074221;-114,404880;8,870562;8,886142;8,875245;8,878858;2,178019;2,142347;2,137091;12,003574
10-28-37_284;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-37_284.PNG;-24,698126;-24,772958;-24,790496;-24,746571;25,566594;26,007119;26,076564;-113,893382;8,870518;8,886157;8,875223;8,878896;2,177086;2,142337;2,136908;12,003538
10-28-37_784;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-37_784.PNG;-24,698058;-24,772983;-24,790735;-24,746524;25,573193;26,008901;26,078771;-114,264728;8,870509;8,886161;8,875256;8,878890;2,176561;2,142198;2,136736;12,003564
10-28-38_284;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-38_284.PNG;-24,698169;-24,772829;-24,790992;-24,746134;25,575510;26,010303;26,082359;-114,135875;8,870524;8,886139;8,875292;8,878835;2,176377;2,142088;2,136456;12,003555
10-28-38_784;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-38_784.PNG;-24,698002;-24,772572;-24,791018;-24,746215;25,575923;26,011141;26,084306;-114,299499;8,870501;8,886104;8,875295;8,878847;2,176345;2,142022;2,136304;12,003567
10-28-39_284;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-39_284.PNG;-24,697973;-24,772983;-24,790706;-24,746416;25,567464;26,011826;26,083924;-114,484989;8,870497;8,886161;8,875252;8,878875;2,177017;2,141969;2,136334;12,003579
10-28-39_784;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-39_784.PNG;-24,698298;-24,772953;-24,790671;-24,746399;25,552516;26,011392;26,078152;-114,476042;8,870542;8,886157;8,875247;8,878872;2,178205;2,142003;2,136784;12,003579
10-28-40_284;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_27/Images/10-28-40_284.PNG;-24,698327;-24,772940;-24,790915;-24,746408;25,539793;26,010958;26,073442;-114,101918;8,870546;8,886155;8,875281;8,878874;2,179217;2,142037;2,137152;12,003553
