Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-37-19_147;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-19_147.PNG;-72,540547;5,349649;5,328671;5,386179;26,844754;27,533306;27,279994;-115,015322;11,885439;4,331233;4,324872;4,324020;2,077738;2,026058;2,044923;12,003613
15-37-19_647;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-19_647.PNG;-72,533566;5,349425;5,328325;5,386030;26,841444;27,534335;27,268921;-114,566044;11,885363;4,331263;4,324917;4,324039;2,077989;2,025982;2,045751;12,003585
15-37-20_147;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-20_147.PNG;-72,537798;5,349259;5,328167;5,386237;26,829195;27,534367;27,265855;-115,093161;11,885409;4,331285;4,324938;4,324012;2,078920;2,025979;2,045981;12,003618
15-37-20_647;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-20_647.PNG;-72,538073;5,349636;5,328491;5,386174;26,819686;27,533563;27,264032;-114,919257;11,885412;4,331235;4,324895;4,324020;2,079643;2,026039;2,046117;12,003607
15-37-21_147;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-21_147.PNG;-72,538183;5,349488;5,328041;5,386057;26,820611;27,534311;27,255664;-115,093161;11,885413;4,331255;4,324955;4,324036;2,079573;2,025983;2,046744;12,003618
15-37-21_647;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-21_647.PNG;-72,540052;5,349510;5,328352;5,386183;26,821387;27,533973;27,252878;-115,034699;11,885433;4,331252;4,324914;4,324019;2,079514;2,026008;2,046952;12,003614
15-37-22_147;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-22_147.PNG;-72,540382;5,349537;5,328253;5,386363;26,815854;27,533579;27,253403;-115,444581;11,885437;4,331248;4,324927;4,323995;2,079935;2,026038;2,046913;12,003639
15-37-22_647;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-22_647.PNG;-72,538238;5,349187;5,328320;5,386296;26,809507;27,534013;27,251207;-115,947118;11,885414;4,331295;4,324918;4,324004;2,080417;2,026006;2,047078;12,003667
15-37-23_147;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-23_147.PNG;-72,539502;5,349640;5,328154;5,385738;26,801195;27,533531;27,246599;-115,454894;11,885427;4,331234;4,324940;4,324078;2,081050;2,026041;2,047423;12,003639
15-37-23_647;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-23_647.PNG;-72,541317;5,349043;5,328266;5,386557;26,795313;27,533459;27,243551;-114,996001;11,885447;4,331314;4,324925;4,323970;2,081497;2,026047;2,047651;12,003612
15-37-24_147;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_33/Images/15-37-24_147.PNG;-72,537688;5,349124;5,328266;5,386098;26,795822;27,533386;27,243272;-115,332164;11,885408;4,331303;4,324925;4,324031;2,081459;2,026052;2,047672;12,003632
