Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
13-53-03_635;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-03_635.PNG;-13,101776;-13,120494;-13,036857;-13,100099;26,554426;26,555513;26,250318;NaN;7,398244;7,401371;7,387397;7,397964;2,099701;2,099618;2,123171;12,004087
13-53-04_135;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-04_135.PNG;-13,101405;-13,121015;-13,036622;-13,099599;26,550963;26,557889;26,251201;NaN;7,398182;7,401458;7,387357;7,397880;2,099967;2,099435;2,123103;12,004082
13-53-04_635;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-04_635.PNG;-13,101769;-13,121043;-13,036746;-13,099888;26,548191;26,561034;26,251547;NaN;7,398243;7,401463;7,387378;7,397929;2,100180;2,099194;2,123076;12,004092
13-53-05_135;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-05_135.PNG;-13,101476;-13,121058;-13,036957;-13,099799;26,548137;26,563302;26,252707;NaN;7,398194;7,401465;7,387413;7,397914;2,100184;2,099020;2,122986;12,004054
13-53-05_635;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-05_635.PNG;-13,101583;-13,120961;-13,037103;-13,099981;26,547974;26,565252;26,253022;NaN;7,398212;7,401449;7,387438;7,397944;2,100197;2,098870;2,122961;12,004108
13-53-06_135;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-06_135.PNG;-13,101544;-13,120954;-13,037000;-13,100010;26,547539;26,567443;26,255473;NaN;7,398205;7,401448;7,387420;7,397949;2,100230;2,098702;2,122771;12,004125
13-53-06_635;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-06_635.PNG;-13,101569;-13,120929;-13,037092;-13,100045;26,547741;26,568422;26,258946;NaN;7,398209;7,401444;7,387436;7,397955;2,100214;2,098627;2,122502;12,004100
13-53-07_135;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-07_135.PNG;-13,101679;-13,121111;-13,036914;-13,100106;26,548199;26,569494;26,260029;NaN;7,398228;7,401474;7,387406;7,397965;2,100179;2,098545;2,122418;12,004106
13-53-07_636;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-07_636.PNG;-13,101590;-13,121307;-13,037207;-13,100195;26,549488;26,569703;26,260874;NaN;7,398213;7,401507;7,387455;7,397980;2,100080;2,098529;2,122352;12,004146
13-53-08_135;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_4/Images/13-53-08_135.PNG;-13,101572;-13,121154;-13,036818;-13,100135;26,551972;26,570737;26,264448;NaN;7,398210;7,401481;7,387390;7,397970;2,099890;2,098450;2,122075;12,004136
